Density,variable,value
97.41,Glaucoma,0.0027186451576792126
97.92,Glaucoma,0.0027078870646476197
98.43,Glaucoma,0.002699212487427921
98.94,Glaucoma,0.0026927662001919343
99.45,Glaucoma,0.002688595176824856
99.96,Glaucoma,0.0026866436955914432
100.47,Glaucoma,0.0026867562204428014
100.98,Glaucoma,0.0026886873567349818
101.49,Glaucoma,0.0026921175479164617
102.0,Glaucoma,0.0026966727816452474
102.51,Glaucoma,0.002701946432019189
103.02,Glaucoma,0.0027075214653894
103.53,Glaucoma,0.0027129915155562462
104.04,Glaucoma,0.002717979705984753
104.55,Glaucoma,0.0027221544708270246
105.06,Glaucoma,0.0027252419361260215
105.57,Glaucoma,0.0027270346317063935
106.08,Glaucoma,0.0027273964260582546
106.59,Glaucoma,0.0027262636455987663
107.1,Glaucoma,0.002723642418855785
107.61,Glaucoma,0.002719602415088527
108.12,Glaucoma,0.0027142673517802814
108.63,Glaucoma,0.002707802904608561
109.14,Glaucoma,0.002700402919142275
109.65,Glaucoma,0.002692275025246231
110.16,Glaucoma,0.0026836268291828844
110.67,Glaucoma,0.0026746537683081943
111.18,Glaucoma,0.002665529458730654
111.69,Glaucoma,0.0026563990006206076
112.2,Glaucoma,0.002647375298388165
112.71,Glaucoma,0.0026385380985271003
113.22,Glaucoma,0.0026299352120582936
113.73,Glaucoma,0.0026215853083483578
114.24,Glaucoma,0.0026134817296877243
114.75,Glaucoma,0.0026055969324824237
115.26,Glaucoma,0.002597887332541799
115.77,Glaucoma,0.0025902984514545183
116.28,Glaucoma,0.0025827702764902203
116.79,Glaucoma,0.002575242655127612
117.3,Glaucoma,0.002567660383410873
117.81,Glaucoma,0.0025599774816027097
118.32,Glaucoma,0.0025521600627458896
118.83,Glaucoma,0.0025441872509617243
